Id,MSSubClass,LotArea,YearBuilt,SaleCondition,SalePrice
1461,20,11622,1961,Normal,134423.0284416634
1462,20,14267,1958,Normal,147539.2472695142
1463,60,13830,1997,Normal,183651.2868208022
1464,60,9978,1998,Normal,189775.32292257334
1465,120,5005,1992,Normal,201220.23764202822
1466,60,10000,1993,Normal,183914.3856115916
1467,20,7980,1992,Normal,171286.59736327408
1468,60,8402,1998,Normal,176836.42124124573
1469,20,10176,1990,Normal,181548.37379617168
1470,20,8400,1970,Normal,138020.43501675015
1471,120,5858,1999,Normal,206309.591082539
1472,160,1680,1971,Normal,121976.77146691113
1473,160,1680,1971,Normal,125399.72535442923
1474,160,2280,1975,Normal,157689.4153761616
1475,120,2280,1975,Normal,139185.51646293607
1476,60,12858,2009,Partial,358857.7979817654
1477,20,12883,2009,Partial,250242.93038932836
1478,20,11520,2005,Normal,303836.95873308164
1479,20,14122,2005,Normal,296601.30981143663
1480,20,14300,2003,Normal,417128.85714262
1481,60,13650,2002,Normal,293213.4796362792
1482,120,7132,2006,Normal,210587.67884297794
1483,20,18494,2005,Normal,193805.7690294846
1484,120,3203,2006,Normal,194315.93656191684
1485,80,13300,2004,Normal,197243.48792887965
1486,60,8577,2004,Normal,203090.1779615472
1487,60,17433,1998,Normal,298861.22720221383
1488,20,8987,2005,Normal,239661.94514874966
1489,20,9215,2009,Partial,207163.83892639613
1490,20,10440,2005,Normal,229564.70417242334
1491,60,11920,2004,Normal,204908.42749895275
1492,30,9800,1920,Normal,113618.4834869659
1493,20,15410,1974,Abnorml,175579.99031963098
1494,60,13143,1993,Normal,279865.1035642571
1495,60,11134,1992,Normal,266550.40516076377
1496,120,4835,2004,Normal,234283.92693305388
1497,160,3515,2004,Normal,193613.9844423089
1498,160,3215,2004,Normal,184733.80462875272
1499,160,2544,2004,Normal,184251.110500965
1500,160,2544,2005,Normal,179639.71962960158
1501,160,2980,2000,Normal,180417.92025299495
1502,160,2403,2003,Normal,189208.22094422334
1503,20,12853,2010,Partial,265686.90677132626
1504,60,7379,2000,Normal,222984.04053720302
1505,20,8000,2002,Normal,217772.72372181213
1506,20,10456,1967,Normal,175164.13558813446
1507,60,10791,1993,Normal,223325.69265822295
1508,50,18837,1978,Normal,179010.56814616578
1509,60,9600,1971,Normal,154672.753194742
1510,20,9600,1966,Normal,149582.2545333523
1511,20,9900,1966,Normal,151880.16285386015
1512,20,9680,1967,Normal,173070.6427118361
1513,80,10600,1964,Family,153167.4963778407
1514,90,13260,1962,Abnorml,165049.7209272016
1515,50,9724,1952,Normal,189286.82475479247
1516,50,17360,1949,Normal,153464.7066964789
1517,85,11380,1966,Normal,149990.2408164439
1518,90,8267,1958,Normal,150499.47018188107
1519,20,8197,2003,Normal,220986.04561946006
1520,20,8050,1959,Normal,137708.6049525315
1521,20,10725,1959,Normal,141510.14411732956
1522,20,10032,1959,Normal,156661.35841621467
1523,50,8382,1956,Normal,125503.2021754797
1524,20,10950,1952,Normal,126271.55361512276
1525,20,10895,1955,Normal,130476.87527643783
1526,190,13587,1958,Abnorml,130479.1533974982
1527,30,7898,1920,Normal,129278.9305401513
1528,50,8064,1948,Normal,129815.03344295904
1529,20,7635,1960,Normal,142171.45795029143
1530,20,9760,1963,Normal,160541.9125572215
1531,50,4800,1900,Abnorml,143417.0805765347
1532,30,4485,1920,Normal,118466.77660765214
1533,20,5805,1957,Normal,141418.5214913588
1534,45,6900,1938,Normal,128263.43842945943
1535,50,11851,1948,Normal,147877.29595660797
1536,50,8239,1920,Normal,126194.33699134621
1537,30,9656,1923,Abnorml,119897.47778367743
1538,70,9600,1900,Abnorml,168577.11758368555
1539,70,9000,1890,Normal,201304.16112748947
1540,190,9045,1910,Abnorml,139567.59530046696
1541,70,10560,1922,Normal,138829.02489022806
1542,50,5830,1950,Normal,133705.9538207575
1543,75,7793,1922,Normal,165327.17122310665
1544,30,5000,1925,Normal,108338.3065998816
1545,50,6000,1939,Abnorml,118595.43972027687
1546,50,6000,1940,Normal,135402.91569782162
1547,50,6360,1942,Normal,138104.7140302894
1548,50,6000,1948,Normal,129399.39595513165
1549,50,6240,1936,Normal,130133.25719275583
1550,50,6240,1930,Normal,141783.9754181202
1551,30,6120,1923,Normal,127479.94017738233
1552,50,8094,1915,Normal,149022.878021534
1553,70,12900,1912,Normal,154692.8930176381
1554,70,3068,1920,Normal,126358.96438430242
1555,20,15263,1959,Normal,167353.26924636067
1556,50,10632,1917,Normal,118248.26748411765
1557,190,9900,1915,Normal,126421.71324625597
1558,50,6001,1940,Normal,118401.11302000559
1559,70,6449,1907,Abnorml,123072.18828184207
1560,190,6048,1910,Normal,144295.99899906325
1561,90,10773,1967,Normal,153971.6698589091
1562,20,7800,1966,Normal,132939.02727403678
1563,20,7832,1968,Normal,129719.25367956092
1564,90,7424,1978,Normal,161572.74579264876
1565,60,11227,1968,Normal,155711.24995196567
1566,20,20062,1977,Normal,201546.95871725783
1567,30,9259,1927,Normal,116520.37846163605
1568,60,17082,1978,Normal,203077.62503920903
1569,50,18600,1938,Normal,157896.62770128512
1570,20,11479,1950,Normal,150166.86524686997
1571,50,9350,1947,Normal,137264.89538664743
1572,20,9525,1954,Normal,140374.94738976835
1573,20,17485,2009,Partial,226623.82056267027
1574,20,11200,1964,Normal,142326.92289430994
1575,20,11980,1987,Normal,210056.86989293632
1576,60,12361,1993,Normal,238157.24348343853
1577,20,7360,2010,Normal,197717.15372182053
1578,50,14235,1900,Normal,148649.28737861195
1579,85,11105,1996,Normal,155049.3018650938
1580,60,9337,1997,Normal,188186.35910376182
1581,20,15240,1977,Normal,153952.27823526494
1582,20,7480,1972,Normal,132773.43420138818
1583,20,10389,2003,Normal,286169.3712949843
1584,60,9375,1997,Normal,221984.31841883418
1585,120,4435,2003,Normal,168746.12070785114
1586,30,8777,1945,Normal,109913.9613194707
1587,20,8842,1954,Abnorml,124899.26110616823
1588,20,10044,1968,Normal,144313.83391868768
1589,50,11792,1948,Abnorml,124292.69421298745
1590,80,6305,1975,Normal,135460.18684502688
1591,20,6410,1958,Normal,117725.89905358404
1592,30,4853,1924,Normal,138181.72520467278
1593,30,7890,1939,Normal,130539.6679916306
1594,90,7200,1967,Normal,150548.8369880191
1595,50,9839,1931,Normal,137462.02685659996
1596,50,10452,1941,Normal,194437.19950926278
1597,90,15600,1950,Normal,167192.1322547167
1598,80,19645,1994,Normal,188025.98457127865
1599,120,3907,1989,Normal,192227.1159536545
1600,120,3907,1989,Normal,196659.26349475145
1601,30,8154,1941,Normal,106202.48324705914
1602,50,9140,1921,Normal,125491.6861679199
1603,30,8712,1896,Alloca,119587.08320643479
1604,120,3811,2004,Normal,260017.49473446805
1605,60,11050,1998,Normal,246638.03855478976
1606,80,9620,1977,Normal,160188.94933970066
1607,90,12760,1976,Normal,172961.2011023373
1608,20,11896,2008,Normal,221305.27528599018
1609,20,9803,2009,Partial,197291.956775957
1610,60,9802,2006,Normal,172796.15215641132
1611,20,15300,1965,Normal,150655.81760177598
1612,20,10114,2004,Normal,193354.86589455223
1613,20,11875,1999,Normal,177143.34860682744
1614,120,2394,1973,Normal,137599.57781957454
1615,160,1476,1970,Normal,115269.88966127376
1616,160,1900,1970,Normal,112198.56168206416
1617,160,1890,1972,Normal,120269.32733249431
1618,20,6953,1971,Normal,128504.5513799874
1619,20,12887,1984,Normal,150199.48844645868
1620,90,7700,1985,Normal,180185.3930046376
1621,60,10475,1991,Normal,153352.7443987541
1622,50,10544,1969,Normal,145113.69690228833
1623,20,9892,1994,Normal,257838.29971024438
1624,60,12961,1993,Normal,218247.1398982591
1625,20,13008,1956,Normal,133944.06817139813
1626,20,10200,1974,Normal,164284.19730701644
1627,60,10179,1997,Normal,186373.57543912824
1628,60,11792,2003,Normal,253292.64477586668
1629,80,8400,1996,Normal,179618.785012466
1630,120,7296,2004,Normal,298537.9840745566
1631,120,7380,1998,Normal,196489.90782448405
1632,120,8013,1995,Normal,227562.32383142094
1633,80,8923,1998,Normal,188063.97375780408
1634,60,7500,1998,Normal,192003.96524610132
1635,60,8803,1994,Normal,186894.6190944736
1636,20,7250,1993,Normal,171976.39962432272
1637,60,11900,1977,Normal,176650.06767171936
1638,60,13250,1978,Abnorml,192023.14413059145
1639,20,10928,1978,Normal,174682.41101407877
1640,60,12388,1980,Normal,214513.29454960785
1641,20,11088,1978,Normal,173504.46170881536
1642,60,7000,2003,Normal,219715.50869285275
1643,60,7500,2000,Normal,218936.15330382384
1644,60,8470,2002,Normal,219407.45165565395
1645,20,9373,1975,Normal,176824.2363397004
1646,20,10140,1974,Normal,161087.92931146018
1647,20,11050,1975,Normal,164166.29373175075
1648,20,7830,1970,Normal,145090.795482712
1649,20,8510,1971,Normal,136737.74049800696
1650,20,7038,1970,Abnorml,134854.36495485532
1651,20,9000,1971,Normal,133817.62285263144
1652,160,1680,1973,Normal,121104.91408457737
1653,160,1680,1972,Normal,121327.70974008675
1654,160,2308,1976,Normal,159155.8452706859
1655,120,2280,1975,Normal,158662.35208296412
1656,160,2349,1977,Normal,155507.35808318795
1657,160,2364,1978,Normal,156130.51829275113
1658,160,2364,1978,Normal,169930.21767178396
1659,120,2104,1976,Normal,139962.253342572
1660,20,10710,1966,Normal,166506.34238643327
1661,60,14257,2007,Normal,391565.38912042783
1662,60,12350,2009,Partial,328883.05383911845
1663,20,12350,2008,Normal,348422.19470137695
1664,20,13693,2007,Normal,408352.22482851543
1665,20,11578,2008,Normal,311505.1970592495
1666,20,16870,2004,Normal,325922.68992068706
1667,60,23303,2007,Family,320546.8798550486
1668,20,10367,2008,Normal,325055.09661969205
1669,20,10872,2006,Normal,285225.6323742459
1670,20,13514,2008,Normal,334149.58583081077
1671,20,12878,2003,Normal,252393.24982249492
1672,20,15274,2003,Normal,395772.36452134204
1673,60,13262,2003,Normal,278438.3871288637
1674,20,9658,2006,Normal,245454.13467682924
1675,120,6904,2005,Normal,197071.39729120306
1676,120,5122,2005,Normal,202431.40178382047
1677,120,10307,2007,Normal,211946.35534502118
1678,20,14836,2004,Abnorml,406801.6997242857
1679,20,15262,2003,Normal,346977.3931891882
1680,120,7390,2008,Partial,300917.7700857858
1681,120,6472,2008,Normal,252425.5414522347
1682,20,16770,2002,Normal,306076.7484496503
1683,120,3480,2003,Normal,199684.5995993073
1684,60,10928,2005,Normal,199185.9321388527
1685,60,8918,2005,Normal,193112.9134363969
1686,120,3182,2005,Normal,194244.72419111355
1687,80,9434,2004,Normal,189605.3553376052
1688,60,7984,2004,Normal,200089.73971578313
1689,60,10125,2004,Normal,203730.07061800678
1690,60,8965,2003,Normal,202956.09272134939
1691,60,8174,2003,Normal,200130.81385386057
1692,60,12891,2002,Normal,260770.95254353876
1693,80,9734,2004,Normal,189658.94489295772
1694,60,8433,2000,Normal,183520.39687596844
1695,80,7750,1999,Normal,173840.8931294013
1696,60,15896,1999,Normal,247880.13863595302
1697,80,7848,1999,Normal,171983.45555923076
1698,60,12720,2000,Normal,303884.2692795919
1699,20,10750,1994,Normal,291162.2134484611
1700,60,9085,1995,Normal,231017.35557932075
1701,60,11692,1993,Normal,243554.5977982088
1702,20,11194,2008,Normal,254776.88059275702
1703,20,10206,2008,Normal,249659.04087704266
1704,20,10130,2007,Normal,272820.440307592
1705,20,9139,2006,Normal,233462.32421701893
1706,20,11128,2005,Normal,380561.48871132627
1707,20,7993,2008,Partial,211265.47853676847
1708,20,8640,2008,Normal,205159.88102158383
1709,20,12606,2007,Normal,261164.86352719535
1710,20,7500,2006,Normal,223807.90108519242
1711,60,10603,2006,Normal,270100.8213674829
1712,20,8125,2008,Partial,252354.81014300566
1713,20,10625,2006,Normal,258547.0177774286
1714,20,8736,2003,Normal,211160.67282894053
1715,60,8127,2003,Normal,202229.1269668077
1716,20,9605,2007,Normal,185402.29687534334
1717,20,7500,2006,Normal,179116.32479175605
1718,20,7500,2004,Normal,144187.4121543496
1719,60,10628,2004,Normal,213846.973694773
1720,20,10141,2004,Normal,246764.54861216748
1721,20,13072,2004,Normal,178783.2474827267
1722,20,13072,2004,Normal,145747.69273926874
1723,20,12450,2003,Normal,169989.87072305457
1724,20,7328,2008,Partial,219510.31924639925
1725,60,11492,1996,Normal,222416.0065632176
1726,60,7703,1992,Normal,196288.20518165294
1727,120,7175,1990,Normal,185950.37224923336
1728,60,9109,1994,Normal,197866.8791936906
1729,60,10274,1986,Normal,167485.9586605965
1730,90,8250,1981,Normal,158094.44063375282
1731,20,9750,1962,Normal,132667.01261843625
1732,20,8499,1961,Normal,140902.2652891368
1733,20,9079,1961,Normal,132167.86533503074
1734,20,9316,1965,Family,136854.08800590792
1735,20,7791,1963,Normal,146933.86637458365
